customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
95980230,9863,04/14/2021,5:35,99935,jcb,Photojam,Houston,Texas,1473,TX
52249066,8204,10/06/2021,18:52,29972,jcb,Demivee,Saint Louis,Missouri,5444,MO
53499067,3563,01/02/2022,6:36,15152,jcb,Tagfeed,Lakeland,Florida,8205,FL
20852795,5074,12/26/2021,7:36,81244,americanexpress,Eidel,Rochester,New York,2190,NY
90186929,9440,09/13/2021,8:13,97364,jcb,Zava,Irvine,California,2741,CA
31789034,2255,09/01/2021,11:25,79149,jcb,Feedfire,Arlington,Texas,5992,TX
27059531,8623,06/30/2021,14:23,47415,jcb,Jabberstorm,Fort Wayne,Indiana,3277,IN
71648963,8893,07/15/2021,18:40,33285,switch,Jabbercube,Akron,Ohio,3081,OH
23066586,9676,04/16/2021,20:36,98199,diners-club-carte-blanche,Npath,Sacramento,California,1499,CA
65279441,8124,05/28/2021,5:49,67821,mastercard,Plajo,Green Bay,Wisconsin,9703,WI
91311480,7176,04/25/2021,13:01,19399,jcb,Riffpedia,Washington,District of Columbia,5707,DC
38768929,2537,11/09/2021,7:11,81426,mastercard,Youspan,Salt Lake City,Utah,7459,UT
13010718,2153,04/14/2021,4:52,89718,visa,Feedmix,Pomona,California,4655,CA
89269279,4339,02/15/2022,10:08,74432,solo,Eayo,Norfolk,Virginia,5991,VA
95393581,9410,01/24/2022,7:02,31665,instapayment,Innojam,Clearwater,Florida,8118,FL
32959276,4355,02/18/2022,18:53,50036,mastercard,Blognation,Oklahoma City,Oklahoma,7436,OK
24222642,5933,07/19/2021,20:53,55516,jcb,Rhyloo,Bakersfield,California,9053,CA
12846148,8037,12/07/2021,4:40,99628,visa,Skilith,Amarillo,Texas,6163,TX
41378436,1307,11/04/2021,16:01,9259,maestro,Wordpedia,Boise,Idaho,2701,ID
88128880,4759,07/09/2021,2:31,91803,china-unionpay,Mycat,Evansville,Indiana,6992,IN
61426667,5170,01/23/2022,12:18,50216,jcb,Kanoodle,Olympia,Washington,4537,WA
25489398,8664,08/01/2021,5:35,67855,mastercard,Buzzbean,Sandy,Utah,2339,UT
47518935,4891,08/11/2021,15:49,41629,diners-club-enroute,Jayo,Houston,Texas,2068,TX
11383971,1405,03/20/2022,14:51,81907,switch,Kaymbo,Torrance,California,7894,CA
44541431,6270,08/06/2021,9:42,84724,diners-club-carte-blanche,Jatri,Bronx,New York,6724,NY
24356087,1165,04/13/2021,6:48,13325,laser,Buzzbean,Lansing,Michigan,8531,MI
44991867,1390,02/18/2022,19:34,36730,diners-club-carte-blanche,Aivee,Roanoke,Virginia,9970,VA
33276378,8338,11/09/2021,3:52,78732,mastercard,Pixoboo,Schaumburg,Illinois,5067,IL
76236486,6643,01/23/2022,16:14,24391,bankcard,Mybuzz,Mobile,Alabama,1429,AL
12121731,2041,12/25/2021,0:59,94121,china-unionpay,Realcube,Danbury,Connecticut,2123,CT
64180137,4674,10/14/2021,2:45,65119,jcb,Yakitri,Decatur,Georgia,9720,GA
48359393,3436,12/20/2021,19:02,34935,jcb,Edgeblab,Gulfport,Mississippi,9916,MS
26542377,5913,12/08/2021,13:18,8709,visa-electron,Tagcat,Jacksonville,Florida,9818,FL
65570071,1189,08/30/2021,3:52,5695,americanexpress,Thoughtblab,Boston,Massachusetts,2337,MA
47639816,7719,12/26/2021,19:29,53223,visa-electron,Riffpath,Lancaster,Pennsylvania,5486,PA
65389519,7538,01/29/2022,3:04,82519,maestro,Edgetag,Syracuse,New York,5721,NY
32820799,2062,10/03/2021,0:41,6660,jcb,Flipstorm,Atlanta,Georgia,3702,GA
17228271,3277,04/11/2021,22:02,92087,instapayment,Youtags,Fairfield,Connecticut,1691,CT
74909625,4226,04/25/2021,0:19,26784,diners-club-carte-blanche,Oozz,Newark,New Jersey,8121,NJ
40033521,5088,10/07/2021,23:40,29634,jcb,Plajo,Scottsdale,Arizona,5416,AZ
84550859,4502,10/02/2021,7:54,64496,maestro,Blogspan,Des Moines,Iowa,9354,IA
88529423,2751,11/30/2021,11:03,60106,jcb,Thoughtblab,Atlanta,Georgia,2354,GA
28443767,6500,07/16/2021,17:17,56826,americanexpress,Thoughtstorm,Saint Louis,Missouri,2650,MO
19355971,2557,06/17/2021,15:15,77032,jcb,Browsezoom,Washington,District of Columbia,8733,DC
21538864,9723,10/19/2021,20:17,54624,switch,Podcat,Savannah,Georgia,5287,GA
39822367,8506,03/20/2022,20:15,18128,china-unionpay,Oyonder,Tulsa,Oklahoma,9432,OK
80515658,8747,08/24/2021,11:01,11630,jcb,Ntag,Redwood City,California,7943,CA
32526159,9482,08/01/2021,20:28,10249,china-unionpay,Yodo,Hagerstown,Maryland,4074,MD
55901955,7806,02/19/2022,5:12,5367,diners-club-carte-blanche,Kimia,Washington,District of Columbia,8840,DC
23546691,7291,11/04/2021,4:51,88542,mastercard,Oba,Memphis,Tennessee,8577,TN
