customerNumber (CIF),cardLast4Digits,transactionDate,transactionTime,transactionAmount,transactionType,merchantName,merchantCity,merchantState,merchantZip,stateCode
76430830,3190,06/18/2021,2:30,51979,laser,Cogidoo,Billings,Montana,5583,MT
66055829,7837,06/28/2021,16:12,17858,jcb,Vitz,Washington,District of Columbia,9917,DC
66453551,9549,10/12/2021,12:50,76372,jcb,Chatterbridge,San Francisco,California,3529,CA
93222988,2113,04/29/2021,3:49,75616,jcb,Shuffledrive,Iowa City,Iowa,5720,IA
68885934,6059,11/22/2021,0:06,20740,china-unionpay,Quire,Sioux City,Iowa,6901,IA
32310039,9620,10/14/2021,12:12,76308,mastercard,Trunyx,Kansas City,Kansas,4678,KS
24145806,9720,10/23/2021,11:50,41639,jcb,Thoughtstorm,Honolulu,Hawaii,5265,HI
34159540,9235,04/14/2021,2:37,75665,diners-club-carte-blanche,Cogibox,Albuquerque,New Mexico,5491,NM
54402952,8560,06/21/2021,3:37,36896,mastercard,Realpoint,Cincinnati,Ohio,6346,OH
76961361,1732,03/18/2022,20:36,98215,laser,Eimbee,Washington,District of Columbia,7408,DC
83893972,8210,09/18/2021,12:53,52146,jcb,Talane,Washington,District of Columbia,7570,DC
11198370,7908,09/23/2021,12:58,8819,americanexpress,Dynabox,Minneapolis,Minnesota,8189,MN
75616391,9037,03/04/2022,7:59,55059,jcb,Edgeclub,Lexington,Kentucky,2217,KY
67731659,4673,08/27/2021,18:24,19565,maestro,Leexo,Manassas,Virginia,6934,VA
54787918,4927,02/04/2022,11:04,30738,visa,Aibox,Arlington,Virginia,4508,VA
75115938,7890,10/22/2021,0:19,12547,jcb,Gabcube,Largo,Florida,1524,FL
81164896,7307,03/31/2022,1:34,96612,switch,Zava,Lakewood,Washington,3499,WA
58581932,4038,07/10/2021,13:57,49358,maestro,Eare,Columbia,South Carolina,1782,SC
56482118,9789,04/20/2021,0:27,90831,bankcard,Yamia,Fort Worth,Texas,3605,TX
14212489,8356,03/02/2022,13:57,61970,solo,Realcube,Roanoke,Virginia,4648,VA
74453043,3301,08/27/2021,10:55,63419,diners-club-carte-blanche,Realbuzz,Saint Petersburg,Florida,4064,FL
23807506,1616,07/28/2021,17:47,34806,jcb,Twiyo,Reno,Nevada,9653,NV
46373626,8686,03/17/2022,8:33,89905,maestro,Ntags,Greenville,South Carolina,4846,SC
50467830,2384,01/12/2022,19:31,58670,diners-club-international,Divanoodle,New Orleans,Louisiana,8905,LA
99398919,7718,02/04/2022,16:29,9811,visa-electron,Tagopia,Denver,Colorado,7550,CO
34880083,3337,12/31/2021,14:01,67524,diners-club-us-ca,Aimbo,Jackson,Mississippi,2039,MS
69504283,9731,09/10/2021,16:51,21160,visa-electron,Linkbridge,San Diego,California,7424,CA
81339650,9976,09/23/2021,6:51,63189,bankcard,Browsebug,Sacramento,California,4766,CA
